picture,picture_link,currency,price,rooms,surface,floor,type,method,city,country,latitude,longitude
https://img3.imonet.ro/X98F/98F00H550RE/apartament-de-vanzare-3-camere-bucuresti-1-decembrie-1918-76496690_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/1-decembrie-1918/apartament-de-vanzare-3-camere-X98F0000J?lista=2349706,EUR + VAT,60900,3,62,1,apartament,buy,Bucuresti,Romania,44.38764369,26.15465703
https://img3.imonet.ro/XV0B/V0B00H4VR4H/garsoniera-de-vanzare-bucuresti-theodor-pallady-76404602_277x208.jpg,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/theodor-pallady/garsoniera-de-vanzare-XV0B001P1?lista=2349706,EUR,29990,1,36,1,apartament,buy,Bucuresti,Romania,44.34965735,26.14856738
https://img3.imonet.ro/X2F7/2F71000AH65/apartament-de-vanzare-5-camere-bucuresti-soseaua-nordului-76508446_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/soseaua-nordului/apartament-de-vanzare-5-camere-X2F710089?lista=2349706,EUR + VAT,521008,5,220,1,apartament,buy,Bucuresti,Romania,44.51003226,26.10012401
https://img3.imonet.ro/X4CO/4CO100000AQ/apartament-de-vanzare-3-camere-bucuresti-mosilor-73705556_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/mosilor/apartament-de-vanzare-3-camere-X4CO1002S?lista=2349706,EUR,140000,3,82,1,apartament,buy,Bucuresti,Romania,44.36506515,26.16789653
https://img3.imonet.ro/X95L/95L00H3VGO1/apartament-de-vanzare-3-camere-bucuresti-vitan-mall-75902410_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/vitan-mall/apartament-de-vanzare-3-camere-X95L00008?lista=2349706,EUR,116000,3,74,1,apartament,buy,Bucuresti,Romania,44.4328196,25.99571106
https://img3.imonet.ro/X92O/92O00H1LR0L/apartament-de-vanzare-2-camere-bucuresti-grozavesti-73501956_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/grozavesti/apartament-de-vanzare-2-camere-X92O0003R?lista=2349706,EUR,77500,2,69,1,apartament,buy,Bucuresti,Romania,44.39393619,26.04974246
https://img3.imonet.ro/X92O/92O00H0P7PE/garsoniera-de-vanzare-bucuresti-giurgiului-73014968_277x208.jpg,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/giurgiului/garsoniera-de-vanzare-X92O00015?lista=2349706,EUR,31000,1,33,1,apartament,buy,Bucuresti,Romania,44.42200758,26.00560733
https://img3.imonet.ro/X3AJ/3AJ10003GJV/apartament-de-vanzare-2-camere-bucuresti-timpuri-noi-66146100_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/timpuri-noi/apartament-de-vanzare-2-camere-X3AJ100ML?lista=2349706,EUR,92000,2,64.6,1,apartament,buy,Bucuresti,Romania,44.43617735,26.10808728
https://img3.imonet.ro/X55I/55I00GV1QJO/garsoniera-de-vanzare-bucuresti-militari-72205332_277x208.jpg,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/militari/garsoniera-de-vanzare-X55I000BB?lista=2349706,EUR,33000,1,41,1,apartament,buy,Bucuresti,Romania,44.33960555,26.09043338
https://img3.imonet.ro/X7TQ/7TQ00FPQHAL/apartament-de-vanzare-3-camere-bucuresti-bucurestii-noi-61123253_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/bucurestii-noi/apartament-de-vanzare-3-camere-X7TQ00001?lista=2349706,RON + VAT,450000,3,75,1,apartament,buy,Bucuresti,Romania,44.50913516,26.15137038
https://img3.imonet.ro/X2F7/2F71000AH4C/penthouse-de-vanzare-4-camere-bucuresti-aviatorilor-76501654_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/aviatorilor/penthouse-de-vanzare-4-camere-X2F71005G?lista=2349706,EUR,448988,4,160,1,apartament,buy,Bucuresti,Romania,44.49352936,26.1510865
https://img3.imonet.ro/X3H7/3H710009KOL/apartament-de-vanzare-4-camere-bucuresti-herastrau-73180588_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-4-camere-X3H71005K?lista=2349706,EUR,399500,4,177,1,apartament,buy,Bucuresti,Romania,44.41526758,26.1117409
https://img3.imonet.ro/X8SP/8SP00GT1TIQ/apartament-de-vanzare-3-camere-bucuresti-rosetti-71623318_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/rosetti/apartament-de-vanzare-3-camere-X8SP0001G?lista=2349706,EUR,187000,3,97.96,1,apartament,buy,Bucuresti,Romania,44.40357705,26.17426811
https://img3.imonet.ro/X3AJ/3AJ10003RL7/apartament-de-vanzare-3-camere-bucuresti-timpuri-noi-74493756_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/timpuri-noi/apartament-de-vanzare-3-camere-X3AJ100EI?lista=2349706,EUR,129000,3,77,1,apartament,buy,Bucuresti,Romania,44.45900834,26.05652969
https://img3.imonet.ro/X89A/89A1000001F/apartament-de-vanzare-3-camere-bucuresti-p-ta-muncii-69286138_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/p-ta-muncii/apartament-de-vanzare-3-camere-X89A10014?lista=2349706,EUR + VAT,126000,3,93,1,apartament,buy,Bucuresti,Romania,44.51067054,26.13744083
https://img3.imonet.ro/X3AJ/3AJ10003RUV/apartament-de-vanzare-3-camere-bucuresti-calea-calarasilor-75738676_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/calea-calarasilor/apartament-de-vanzare-3-camere-X3AJ100MK?lista=2349706,EUR,120000,3,86.5,1,apartament,buy,Bucuresti,Romania,44.49824429,26.11331084
https://img3.imonet.ro/X92O/92O00H1H1S1/apartament-de-vanzare-3-camere-bucuresti-mihai-bravu-73613038_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/mihai-bravu/apartament-de-vanzare-3-camere-X92O00028?lista=2349706,EUR,115000,3,74,1,apartament,buy,Bucuresti,Romania,44.45901818,26.09230633
https://img3.imonet.ro/X98F/98F00H54R32/apartament-de-vanzare-3-camere-bucuresti-mihai-bravu-76492270_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/mihai-bravu/apartament-de-vanzare-3-camere-X98F00006?lista=2349706,EUR + VAT,114000,3,78,1,apartament,buy,Bucuresti,Romania,44.37130576,26.11857645
https://img3.imonet.ro/X76B/76B00H4F6DD/apartament-de-vanzare-3-camere-bucuresti-metalurgiei-76135480_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/metalurgiei/apartament-de-vanzare-3-camere-X76B00089?lista=2349706,EUR,110000,3,84,1,apartament,buy,Bucuresti,Romania,44.41609339,26.12394011
https://img3.imonet.ro/XV09/V0900GE5N83/apartament-de-vanzare-2-camere-bucuresti-pipera-65727423_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/apartament-de-vanzare-2-camere-XV090076O?lista=2349706,EUR,88500,2,70,1,apartament,buy,Bucuresti,Romania,44.43012891,26.06558459
https://img3.imonet.ro/X0PN/0PN1000ADAP/apartament-de-vanzare-2-camere-bucuresti-amzei-76169338_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/amzei/apartament-de-vanzare-2-camere-X0PN10007?lista=2349706,EUR,85000,2,45,1,apartament,buy,Bucuresti,Romania,44.38569554,26.21276587
